id ,text,label,index,description
949,QFN 티칭 창 Surface 탭 ROI 초기화,/teaching/qfn/update?propertyName=SurfaceRoi&value=reset,5,
948,QFN 티칭 창 Surface 탭 ROI 삭제,/teaching/qfn/update?propertyName=SurfaceRoi&value=delete,5,
943,QFN 티칭 창 Surface 탭 ROI 추가,/teaching/qfn/update?propertyName=SurfaceRoi&value=add,5,
944,QFN Surface 로이 추가,/teaching/qfn/update?propertyName=SurfaceRoi&value=add,5,
945,QFN Surface 로이 초기화,/teaching/qfn/update?propertyName=SurfaceRoi&value=add,5,
946,QFN Surface 로이 생성,/teaching/qfn/update?propertyName=SurfaceRoi&value=add,5,
947,QFN 티칭 Surface ROI 생성,/teaching/qfn/update?propertyName=SurfaceRoi&value=add,5,
942,QFN Surface 로이 삭제,/teaching/qfn/update?propertyName=SurfaceRoi&value=,5,
939,QFN Surface 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=Surface,5,
940,QFN Surface tab,/teaching/qfn/update?propertyName=moveTab&value=Surface,5,
941,QFN 서페이스 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=Surface,5,
936,QFN Sawing 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=Sawing,5,
937,QFN Sawing tab,/teaching/qfn/update?propertyName=moveTab&value=Sawing,5,
938,QFN 소잉 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=Sawing,5,
933,QFN Result 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=Result,5,
934,QFN Result tab,/teaching/qfn/update?propertyName=moveTab&value=Result,5,
935,QFN 리저트 탭,/teaching/qfn/update?propertyName=moveTab&value=Result,5,
931,QFN RejectMark 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=RejectMark,5,
932,QFN RejectMark tab,/teaching/qfn/update?propertyName=moveTab&value=RejectMark,5,
929,QFN padLeads 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=padLeads,5,
930,QFN padLeads tab,/teaching/qfn/update?propertyName=moveTab&value=padLeads,5,
926,QFN Package 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=Package,5,
927,QFN Package tab,/teaching/qfn/update?propertyName=moveTab&value=Package,5,
928,QFN 패키지 탭,/teaching/qfn/update?propertyName=moveTab&value=Package,5,
924,QFN DontCare 탭으로 이동,/teaching/qfn/update?propertyName=moveTab&value=DontCare,5,
925,QFN DontCare tab,/teaching/qfn/update?propertyName=moveTab&value=DontCare,5,
923,QFN 티칭 창 Lead 탭 ROI 초기화,/teaching/qfn/update?propertyName=LeadRois&value=reset,5,
922,QFN 티칭 창 Lead 탭 ROI 삭제,/teaching/qfn/update?propertyName=LeadRois&value=delete,5,
918,QFN 티칭 창 Lead 탭 ROI 추가,/teaching/qfn/update?propertyName=LeadRois&value=add,5,
919,QFN Lead 로이 추가,/teaching/qfn/update?propertyName=LeadRois&value=add,5,
920,QFN Lead 로이 생성,/teaching/qfn/update?propertyName=LeadRois&value=add,5,
921,QFN 티칭 Lead ROI 생성,/teaching/qfn/update?propertyName=LeadRois&value=add,5,
916,QFN Lead 로이 삭제,/teaching/qfn/update?propertyName=LeadRois&value=,5,
917,QFN Lead 로이 초기화,/teaching/qfn/update?propertyName=LeadRois&value=,5,
911,QFN Surface 티칭 테스트,/teaching/qfn/update?propertyName=inspectSurfaceTeaching&value=1,5,
912,QFN 표면 결함 검출 테스트,/teaching/qfn/update?propertyName=inspectSurfaceTeaching&value=1,5,
913,QFN 표면 결함 검출해줘,/teaching/qfn/update?propertyName=inspectSurfaceTeaching&value=1,5,
914,QFN 티칭 창에서 표면 결함 검출해줘,/teaching/qfn/update?propertyName=inspectSurfaceTeaching&value=1,5,
915,QFN surface 표면 결함 검출해줘,/teaching/qfn/update?propertyName=inspectSurfaceTeaching&value=1,5,
905,QFN Sawing 티칭 테스트,/teaching/qfn/update?propertyName=inspectSawingTeaching&value=1,5,
906,QFN Sawing 자재 치수 측정,/teaching/qfn/update?propertyName=inspectSawingTeaching&value=1,5,
